"genes" "astrocyte"
"Cst3" 15187.1809154001
"Fth1" 68085.368985356
"Ctss" 16.1454230867763
"Tmsb4x" 8956.90031145663
"C1qb" 10.3607475795525
"Plp1" 26433.579188462
"Actb" 8597.21883347018
"B2m" 1452.83536889722
"C1qa" 9.25666437546251
"Hexb" 50.4133967255194
"Ptgds" 20977.1091608935
"Itm2b" 6122.26119790054
"Ctsd" 401.72538526903
"Apoe" 17024.752410086
"mt-Rnr2" 15608.4488766586
"C1qc" 5.94415062470747
"mt-Cytb" 10397.8996042942
"Tyrobp" 6.17268115985422
"P2ry12" 9.0854562277522
"Sparc" 1327.55279851509
"Car2" 8785.06509054822
"mt-Co1" 6211.56637782684
"Tubb4a" 8281.95248461536
"Ctsz" 363.733118097494
"Ftl1" 1965.77276581962
"Ttr" 3392.19140739525
"Ubb" 5112.87466387941
"Tmem119" 6.99411469858197
"Fcer1g" 4.04264493876242
"Cryab" 7981.39951294873
"mt-Nd1" 4912.18601963849
"Cd81" 3026.01682379765
"Bsg" 7571.36209709665
"Serinc3" 655.949083453936
"Cnp" 7105.23364490303
"Ccl4" 3.35311221096711
"Apod" 6550.51116070193
"Lgmn" 201.056399864121
"Aplp1" 6370.59706562201
"Csf1r" 2.02411455156581
"Laptm5" 2.54872195109003
"Mbp" 5287.28707766347
"Gm10123" 3358.97000638328
"Tuba1a" 4667.13986304792
"Gstp1" 4536.83022846618
"Gpr34" 2.30025804988898
"Ckb" 3958.5053262761
"Stmn1" 4847.37135531016
"Qdpr" 4623.76923867348
"Cd68" 2.9874615843579
"Mt1" 4133.0224134592
"Selenop" 1589.96604882484
"Selplg" 1.92162312685181
"Cx3cr1" 1.81954288376824
"Ccl3" 2.97297262198019
"Fcgr3" 1.94910076125945
"Calm2" 1628.58565034579
"Lamp1" 2390.45967267259
"Cd9" 1066.81583230142
"Dbi" 3777.35016821129
"Cmtm5" 3656.86204578208
"Psap" 978.820735481108
"mt-Nd2" 2381.52071202953
"Malat1" 2327.42050690263
"Rnase4" 74.6294537172036
"Mal" 3407.91843627305
"Cd53" 1.73721684642608
"Cox6a1" 2251.78963543196
"Ctsb" 391.162597252042
"Gatm" 2332.37913738326
"Cyba" 99.5337880826224
"Hsp90ab1" 2181.08213724405
"H3f3b" 890.959038670287
"mt-Nd4" 1976.88833623833
"Cox8a" 2015.75026107607
"Ptma" 2238.2642065826
"Cfl1" 1470.63034013735
"4-Sep" 2746.5596961355
"Mog" 2780.26071527166
"Clu" 2921.30805527193
"P2ry13" 1.241695921871
"Ldhb" 945.817871101409
"Junb" 107.632824504383
"Zfp36" 68.4255645193942
"Prnp" 2495.48481219978
"Enpp2" 2342.79645661789
"Nfkbia" 316.740563113813
"Vtn" 2646.67838169541
"Lyz2" 2.12075568997164
"Siglech" 1.27288300887967
"Glul" 1856.72438931302
"Tmem59" 1265.1217814007
"Grn" 86.7254793435024
"Hsp90aa1" 1739.35075319605
"Fos" 392.525257569333
"Hexa" 109.919826472198
"Rhog" 1208.94212280289
"Cd300c2" 1.1379171707905
"Mag" 2233.46028153963
