# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-20 13:48:13
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222.slx
# Object Full Name: Regions/new AD1/AD region/1
# Object ID: eb9bb246-a90c-4abc-bd50-76cd0790e79f
# Object type: Region
# Object creation time: 2023-06-20 09:22:52
#
Spot index;x;y
632712;48564.18359375;-11490.594726563
632713;48584.18359375;-11490.594726563
632714;48604.18359375;-11490.594726563
632715;48624.18359375;-11490.594726563
632941;48544.18359375;-11510.594726563
632942;48564.18359375;-11510.594726563
632943;48584.18359375;-11510.594726563
632944;48604.18359375;-11510.594726563
632945;48624.18359375;-11510.594726563
632946;48644.18359375;-11510.594726563
633169;48544.18359375;-11530.594726563
633170;48564.18359375;-11530.594726563
633171;48584.18359375;-11530.594726563
633172;48604.18359375;-11530.594726563
633173;48624.18359375;-11530.594726563
633174;48644.18359375;-11530.594726563
633396;48544.18359375;-11550.594726563
633397;48564.18359375;-11550.594726563
633398;48584.18359375;-11550.594726563
633399;48604.18359375;-11550.594726563
633400;48624.18359375;-11550.594726563
633401;48644.18359375;-11550.594726563
633621;48564.18359375;-11570.594726563
633622;48584.18359375;-11570.594726563
633623;48604.18359375;-11570.594726563
633624;48624.18359375;-11570.594726563
