# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-20 13:49:03
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222.slx
# Object Full Name: Regions/new AD1/AD region/3
# Object ID: 82cf14ab-7de7-4c09-83a8-7c83c1e88214
# Object type: Region
# Object creation time: 2023-06-20 09:22:46
#
Spot index;x;y
625293;49984.18359375;-10910.594726563
625573;49964.18359375;-10930.594726563
625574;49984.18359375;-10930.594726563
625575;50004.18359375;-10930.594726563
625576;50024.18359375;-10930.594726563
625852;49964.18359375;-10950.594726563
625853;49984.18359375;-10950.594726563
625854;50004.18359375;-10950.594726563
625855;50024.18359375;-10950.594726563
626131;49984.18359375;-10970.594726563
626132;50004.18359375;-10970.594726563
