# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-20 14:58:16
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222.slx
# Object Full Name: Regions/new AD1/AD region/4
# Object ID: e6007321-2711-4e2e-9b6a-9c7fecf36ccb
# Object type: Region
# Object creation time: 2023-06-20 09:22:03
#
Spot index;x;y
517066;49544.18359375;-4110.5952148438
517067;49564.18359375;-4110.5952148438
517068;49584.18359375;-4110.5952148438
517069;49604.18359375;-4110.5952148438
517335;49544.18359375;-4130.5952148438
517336;49564.18359375;-4130.5952148438
517337;49584.18359375;-4130.5952148438
517338;49604.18359375;-4130.5952148438
517606;49544.18359375;-4150.5952148438
517607;49564.18359375;-4150.5952148438
517608;49584.18359375;-4150.5952148438
517609;49604.18359375;-4150.5952148438
517878;49544.18359375;-4170.5952148438
517879;49564.18359375;-4170.5952148438
517880;49584.18359375;-4170.5952148438
517881;49604.18359375;-4170.5952148438
