# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-20 15:00:36
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222.slx
# Object Full Name: Regions/new AD1/AD region/Annotation
# Object ID: 9648e126-033d-461a-ac3d-b9654a3dfbd4
# Object type: Region
# Object creation time: 2023-06-20 09:21:58
#
Spot index;x;y
593834;49244.18359375;-8890.5947265625
593835;49264.18359375;-8890.5947265625
593836;49284.18359375;-8890.5947265625
593837;49304.18359375;-8890.5947265625
594135;49244.18359375;-8910.5947265625
594136;49264.18359375;-8910.5947265625
594137;49284.18359375;-8910.5947265625
594138;49304.18359375;-8910.5947265625
594441;49264.18359375;-8930.5947265625
594442;49284.18359375;-8930.5947265625
