# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-20 15:01:02
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222.slx
# Object Full Name: Regions/new AD1/AD region/Annotation
# Object ID: fa85f6e8-0fa9-49d5-be7d-be3bf35b4dfb
# Object type: Region
# Object creation time: 2023-06-20 09:22:01
#
Spot index;x;y
550935;50024.18359375;-6310.5952148438
550936;50044.18359375;-6310.5952148438
550937;50064.18359375;-6310.5952148438
550938;50084.18359375;-6310.5952148438
550939;50104.18359375;-6310.5952148438
550940;50124.18359375;-6310.5952148438
551275;50024.18359375;-6330.5952148438
551276;50044.18359375;-6330.5952148438
551277;50064.18359375;-6330.5952148438
551278;50084.18359375;-6330.5952148438
551279;50104.18359375;-6330.5952148438
551280;50124.18359375;-6330.5952148438
551615;50024.18359375;-6350.5952148438
551616;50044.18359375;-6350.5952148438
551617;50064.18359375;-6350.5952148438
551618;50084.18359375;-6350.5952148438
551619;50104.18359375;-6350.5952148438
551620;50124.18359375;-6350.5952148438
551958;50064.18359375;-6370.5952148438
551959;50084.18359375;-6370.5952148438
