# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-20 15:04:42
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222.slx
# Object Full Name: Regions/new AD1/AD region/E
# Object ID: 9f263b99-4086-4412-90fc-07581a5fd085
# Object type: Region
# Object creation time: 2023-06-20 09:22:03
#
Spot index;x;y
543144;49564.18359375;-5830.5952148438
543145;49584.18359375;-5830.5952148438
543453;49544.18359375;-5850.5952148438
543454;49564.18359375;-5850.5952148438
543455;49584.18359375;-5850.5952148438
543456;49604.18359375;-5850.5952148438
543763;49544.18359375;-5870.5952148438
543764;49564.18359375;-5870.5952148438
543765;49584.18359375;-5870.5952148438
543766;49604.18359375;-5870.5952148438
544076;49564.18359375;-5890.5952148438
544077;49584.18359375;-5890.5952148438
