# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-20 15:10:08
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222.slx
# Object Full Name: Regions/new AD1/AD region/l
# Object ID: 2714ecec-7f90-436c-8d39-adee0fe720cf
# Object type: Region
# Object creation time: 2023-06-20 09:22:05
#
Spot index;x;y
624415;49504.18359375;-10850.594726563
624416;49524.18359375;-10850.594726563
624417;49544.18359375;-10850.594726563
624702;49484.18359375;-10870.594726563
624703;49504.18359375;-10870.594726563
624704;49524.18359375;-10870.594726563
624705;49544.18359375;-10870.594726563
624706;49564.18359375;-10870.594726563
624987;49504.18359375;-10890.594726563
624988;49524.18359375;-10890.594726563
624989;49544.18359375;-10890.594726563
624990;49564.18359375;-10890.594726563
625269;49504.18359375;-10910.594726563
625270;49524.18359375;-10910.594726563
625271;49544.18359375;-10910.594726563
