# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-20 16:24:27
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222.slx
# Object Full Name: Regions/new AD1/AD region/W
# Object ID: c022cb28-22c3-469a-995e-8553097c1b69
# Object type: Region
# Object creation time: 2023-06-20 09:21:59
#
Spot index;x;y
603722;49164.18359375;-9530.5947265625
603723;49184.18359375;-9530.5947265625
603724;49204.18359375;-9530.5947265625
604036;49144.18359375;-9550.5947265625
604037;49164.18359375;-9550.5947265625
604038;49184.18359375;-9550.5947265625
604039;49204.18359375;-9550.5947265625
604040;49224.18359375;-9550.5947265625
604352;49164.18359375;-9570.5947265625
604353;49184.18359375;-9570.5947265625
604354;49204.18359375;-9570.5947265625
