# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-20 14:59:11
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222.slx
# Object Full Name: Regions/new AD1/AD region/a
# Object ID: 81b1f102-14fc-42e1-98f6-6476ba8cfed5
# Object type: Region
# Object creation time: 2023-06-20 09:22:05
#
Spot index;x;y
626914;49144.18359375;-11030.594726563
626915;49164.18359375;-11030.594726563
626916;49184.18359375;-11030.594726563
626917;49204.18359375;-11030.594726563
627186;49144.18359375;-11050.594726563
627187;49164.18359375;-11050.594726563
627188;49184.18359375;-11050.594726563
627189;49204.18359375;-11050.594726563
627457;49164.18359375;-11070.594726563
627458;49184.18359375;-11070.594726563
627459;49204.18359375;-11070.594726563
