# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-20 15:01:36
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222.slx
# Object Full Name: Regions/new AD1/AD region/b
# Object ID: ec339234-5821-42fa-974e-8c71082ba33b
# Object type: Region
# Object creation time: 2023-06-20 09:22:00
#
Spot index;x;y
536141;50884.18359375;-5370.5952148438
536142;50904.18359375;-5370.5952148438
536143;50924.18359375;-5370.5952148438
536144;50944.18359375;-5370.5952148438
536451;50884.18359375;-5390.5952148438
536452;50904.18359375;-5390.5952148438
536453;50924.18359375;-5390.5952148438
536454;50944.18359375;-5390.5952148438
536762;50884.18359375;-5410.5952148438
536763;50904.18359375;-5410.5952148438
536764;50924.18359375;-5410.5952148438
536765;50944.18359375;-5410.5952148438
