# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-20 15:04:15
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222.slx
# Object Full Name: Regions/new AD1/AD region/d
# Object ID: 8ea34f47-0740-44d8-b0fb-3689e5bd357b
# Object type: Region
# Object creation time: 2023-06-20 09:22:06
#
Spot index;x;y
635223;46084.18359375;-11730.594726563
635224;46104.18359375;-11730.594726563
635225;46124.18359375;-11730.594726563
635430;46084.18359375;-11750.594726563
635431;46104.18359375;-11750.594726563
635432;46124.18359375;-11750.594726563
635433;46144.18359375;-11750.594726563
635632;46084.18359375;-11770.594726563
635633;46104.18359375;-11770.594726563
635634;46124.18359375;-11770.594726563
635635;46144.18359375;-11770.594726563
635832;46084.18359375;-11790.594726563
635833;46104.18359375;-11790.594726563
635834;46124.18359375;-11790.594726563
