# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-20 15:05:10
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222.slx
# Object Full Name: Regions/new AD1/AD region/e
# Object ID: bf8e0349-c687-4868-bbba-fc035d08ef9b
# Object type: Region
# Object creation time: 2023-06-20 09:22:53
#
Spot index;x;y
517081;49844.18359375;-4110.5952148438
517082;49864.18359375;-4110.5952148438
517083;49884.18359375;-4110.5952148438
517349;49824.18359375;-4130.5952148438
517350;49844.18359375;-4130.5952148438
517351;49864.18359375;-4130.5952148438
517352;49884.18359375;-4130.5952148438
517353;49904.18359375;-4130.5952148438
517620;49824.18359375;-4150.5952148438
517621;49844.18359375;-4150.5952148438
517622;49864.18359375;-4150.5952148438
517623;49884.18359375;-4150.5952148438
517624;49904.18359375;-4150.5952148438
517892;49824.18359375;-4170.5952148438
517893;49844.18359375;-4170.5952148438
517894;49864.18359375;-4170.5952148438
517895;49884.18359375;-4170.5952148438
517896;49904.18359375;-4170.5952148438
518166;49824.18359375;-4190.5952148438
518167;49844.18359375;-4190.5952148438
518168;49864.18359375;-4190.5952148438
518169;49884.18359375;-4190.5952148438
518443;49844.18359375;-4210.5952148438
518444;49864.18359375;-4210.5952148438
518445;49884.18359375;-4210.5952148438
