# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-20 15:05:40
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222.slx
# Object Full Name: Regions/new AD1/AD region/f
# Object ID: 59d68bcf-d677-42e6-8f36-396f1207bffe
# Object type: Region
# Object creation time: 2023-06-20 09:22:45
#
Spot index;x;y
635525;47984.18359375;-11750.594726563
635526;48004.18359375;-11750.594726563
635527;48024.18359375;-11750.594726563
635528;48044.18359375;-11750.594726563
635529;48064.18359375;-11750.594726563
635725;47944.18359375;-11770.594726563
635726;47964.18359375;-11770.594726563
635727;47984.18359375;-11770.594726563
635728;48004.18359375;-11770.594726563
635729;48024.18359375;-11770.594726563
635730;48044.18359375;-11770.594726563
635731;48064.18359375;-11770.594726563
635732;48084.18359375;-11770.594726563
635733;48104.18359375;-11770.594726563
635924;47924.18359375;-11790.594726563
635925;47944.18359375;-11790.594726563
635926;47964.18359375;-11790.594726563
635927;47984.18359375;-11790.594726563
635928;48004.18359375;-11790.594726563
635929;48024.18359375;-11790.594726563
635930;48044.18359375;-11790.594726563
635931;48064.18359375;-11790.594726563
635932;48084.18359375;-11790.594726563
635933;48104.18359375;-11790.594726563
635934;48124.18359375;-11790.594726563
636122;47924.18359375;-11810.594726563
636123;47944.18359375;-11810.594726563
636124;47964.18359375;-11810.594726563
636125;47984.18359375;-11810.594726563
636126;48004.18359375;-11810.594726563
636127;48024.18359375;-11810.594726563
636128;48044.18359375;-11810.594726563
636129;48064.18359375;-11810.594726563
636130;48084.18359375;-11810.594726563
636131;48104.18359375;-11810.594726563
636132;48124.18359375;-11810.594726563
636320;47924.18359375;-11830.594726563
636321;47944.18359375;-11830.594726563
636322;47964.18359375;-11830.594726563
636323;47984.18359375;-11830.594726563
636324;48004.18359375;-11830.594726563
636325;48024.18359375;-11830.594726563
636326;48044.18359375;-11830.594726563
636327;48064.18359375;-11830.594726563
636328;48084.18359375;-11830.594726563
636329;48104.18359375;-11830.594726563
636330;48124.18359375;-11830.594726563
636515;47924.18359375;-11850.594726563
636516;47944.18359375;-11850.594726563
636517;47964.18359375;-11850.594726563
636518;47984.18359375;-11850.594726563
636519;48004.18359375;-11850.594726563
636520;48024.18359375;-11850.594726563
636521;48044.18359375;-11850.594726563
636522;48064.18359375;-11850.594726563
636523;48084.18359375;-11850.594726563
636524;48104.18359375;-11850.594726563
636525;48124.18359375;-11850.594726563
636709;47944.18359375;-11870.594726563
636710;47964.18359375;-11870.594726563
636711;47984.18359375;-11870.594726563
636712;48004.18359375;-11870.594726563
636713;48024.18359375;-11870.594726563
636714;48044.18359375;-11870.594726563
636715;48064.18359375;-11870.594726563
636716;48084.18359375;-11870.594726563
636717;48104.18359375;-11870.594726563
636903;47984.18359375;-11890.594726563
636904;48004.18359375;-11890.594726563
636905;48024.18359375;-11890.594726563
636906;48044.18359375;-11890.594726563
636907;48064.18359375;-11890.594726563
636908;48084.18359375;-11890.594726563
