# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-20 15:06:12
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222.slx
# Object Full Name: Regions/new AD1/AD region/g
# Object ID: 88c65e76-73b0-44ef-8b69-7c1caa703841
# Object type: Region
# Object creation time: 2023-06-20 09:22:54
#
Spot index;x;y
549304;51284.18359375;-6210.5952148438
549305;51304.18359375;-6210.5952148438
549641;51264.18359375;-6230.5952148438
549642;51284.18359375;-6230.5952148438
549643;51304.18359375;-6230.5952148438
549644;51324.18359375;-6230.5952148438
549645;51344.18359375;-6230.5952148438
549979;51264.18359375;-6250.5952148438
549980;51284.18359375;-6250.5952148438
549981;51304.18359375;-6250.5952148438
549982;51324.18359375;-6250.5952148438
549983;51344.18359375;-6250.5952148438
550318;51264.18359375;-6270.5952148438
550319;51284.18359375;-6270.5952148438
550320;51304.18359375;-6270.5952148438
550321;51324.18359375;-6270.5952148438
550322;51344.18359375;-6270.5952148438
550658;51284.18359375;-6290.5952148438
550659;51304.18359375;-6290.5952148438
