# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-20 15:07:10
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222.slx
# Object Full Name: Regions/new AD1/AD region/i
# Object ID: 05252ec9-d0ed-4599-9388-f939ccc087db
# Object type: Region
# Object creation time: 2023-06-20 09:22:02
#
Spot index;x;y
637962;47264.18359375;-12010.594726563
637963;47284.18359375;-12010.594726563
638131;47244.18359375;-12030.594726563
638132;47264.18359375;-12030.594726563
638133;47284.18359375;-12030.594726563
638134;47304.18359375;-12030.594726563
638298;47244.18359375;-12050.594726563
638299;47264.18359375;-12050.594726563
638300;47284.18359375;-12050.594726563
638301;47304.18359375;-12050.594726563
638461;47244.18359375;-12070.594726563
638462;47264.18359375;-12070.594726563
638463;47284.18359375;-12070.594726563
638464;47304.18359375;-12070.594726563
638622;47244.18359375;-12090.594726563
638623;47264.18359375;-12090.594726563
638624;47284.18359375;-12090.594726563
638625;47304.18359375;-12090.594726563
638778;47244.18359375;-12110.594726563
638779;47264.18359375;-12110.594726563
638780;47284.18359375;-12110.594726563
638781;47304.18359375;-12110.594726563
638930;47244.18359375;-12130.594726563
638931;47264.18359375;-12130.594726563
638932;47284.18359375;-12130.594726563
638933;47304.18359375;-12130.594726563
639079;47264.18359375;-12150.594726563
639080;47284.18359375;-12150.594726563
