# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-20 15:07:47
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222.slx
# Object Full Name: Regions/new AD1/AD region/j
# Object ID: a3a77b31-2fbb-44bd-bad9-872887caeba2
# Object type: Region
# Object creation time: 2023-06-20 09:22:06
#
Spot index;x;y
540767;50884.18359375;-5670.5952148438
540768;50904.18359375;-5670.5952148438
541071;50864.18359375;-5690.5952148438
541072;50884.18359375;-5690.5952148438
541073;50904.18359375;-5690.5952148438
541074;50924.18359375;-5690.5952148438
541375;50844.18359375;-5710.5952148438
541376;50864.18359375;-5710.5952148438
541377;50884.18359375;-5710.5952148438
541378;50904.18359375;-5710.5952148438
541379;50924.18359375;-5710.5952148438
541681;50864.18359375;-5730.5952148438
541682;50884.18359375;-5730.5952148438
541683;50904.18359375;-5730.5952148438
541684;50924.18359375;-5730.5952148438
