# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-20 15:08:39
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222.slx
# Object Full Name: Regions/new AD1/AD region/k
# Object ID: 22fbf8e8-9e9e-4c0f-be1d-0456c27a1e6a
# Object type: Region
# Object creation time: 2023-06-20 09:21:59
#
Spot index;x;y
618794;45004.18359375;-10490.594726563
619103;44984.18359375;-10510.594726563
619104;45004.18359375;-10510.594726563
619105;45024.18359375;-10510.594726563
619106;45044.18359375;-10510.594726563
619411;44984.18359375;-10530.594726563
619412;45004.18359375;-10530.594726563
619413;45024.18359375;-10530.594726563
619414;45044.18359375;-10530.594726563
619718;44984.18359375;-10550.594726563
619719;45004.18359375;-10550.594726563
619720;45024.18359375;-10550.594726563
