# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-20 15:10:58
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222.slx
# Object Full Name: Regions/new AD1/AD region/m
# Object ID: d09d3f77-1897-4f66-b0d1-c999df043f3b
# Object type: Region
# Object creation time: 2023-06-20 09:22:01
#
Spot index;x;y
623565;49884.18359375;-10790.594726563
623566;49904.18359375;-10790.594726563
623855;49864.18359375;-10810.594726563
623856;49884.18359375;-10810.594726563
623857;49904.18359375;-10810.594726563
624144;49864.18359375;-10830.594726563
624145;49884.18359375;-10830.594726563
624146;49904.18359375;-10830.594726563
624433;49864.18359375;-10850.594726563
624434;49884.18359375;-10850.594726563
624435;49904.18359375;-10850.594726563
624721;49864.18359375;-10870.594726563
624722;49884.18359375;-10870.594726563
624723;49904.18359375;-10870.594726563
625006;49884.18359375;-10890.594726563
625007;49904.18359375;-10890.594726563
