# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-20 15:51:39
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222.slx
# Object Full Name: Regions/new AD1/AD region/n
# Object ID: 4ef8a209-b41b-43fd-84b7-a754ad7574a5
# Object type: Region
# Object creation time: 2023-06-20 09:22:47
#
Spot index;x;y
633492;45984.18359375;-11570.594726563
633493;46004.18359375;-11570.594726563
633494;46024.18359375;-11570.594726563
633715;45984.18359375;-11590.594726563
633716;46004.18359375;-11590.594726563
633717;46024.18359375;-11590.594726563
633935;45984.18359375;-11610.594726563
633936;46004.18359375;-11610.594726563
633937;46024.18359375;-11610.594726563
634153;45984.18359375;-11630.594726563
634154;46004.18359375;-11630.594726563
634155;46024.18359375;-11630.594726563
634368;45984.18359375;-11650.594726563
634369;46004.18359375;-11650.594726563
634370;46024.18359375;-11650.594726563
634583;46004.18359375;-11670.594726563
