# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-20 15:52:14
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222.slx
# Object Full Name: Regions/new AD1/AD region/o
# Object ID: 4e0bf268-414b-4ba8-a961-b131f26f7af9
# Object type: Region
# Object creation time: 2023-06-20 09:22:48
#
Spot index;x;y
521573;49624.18359375;-4430.5952148438
521574;49644.18359375;-4430.5952148438
521575;49664.18359375;-4430.5952148438
521576;49684.18359375;-4430.5952148438
521577;49704.18359375;-4430.5952148438
521866;49604.18359375;-4450.5952148438
521867;49624.18359375;-4450.5952148438
521868;49644.18359375;-4450.5952148438
521869;49664.18359375;-4450.5952148438
521870;49684.18359375;-4450.5952148438
521871;49704.18359375;-4450.5952148438
521872;49724.18359375;-4450.5952148438
522160;49604.18359375;-4470.5952148438
522161;49624.18359375;-4470.5952148438
522162;49644.18359375;-4470.5952148438
522163;49664.18359375;-4470.5952148438
522164;49684.18359375;-4470.5952148438
522165;49704.18359375;-4470.5952148438
522455;49624.18359375;-4490.5952148438
522456;49644.18359375;-4490.5952148438
522457;49664.18359375;-4490.5952148438
522458;49684.18359375;-4490.5952148438
