# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-20 15:52:51
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222.slx
# Object Full Name: Regions/new AD1/AD region/p
# Object ID: 0949fcaa-9b04-46f0-b2cc-c0c75610edf3
# Object type: Region
# Object creation time: 2023-06-20 09:21:54
#
Spot index;x;y
619964;49904.18359375;-10550.594726563
619965;49924.18359375;-10550.594726563
620269;49864.18359375;-10570.594726563
620270;49884.18359375;-10570.594726563
620271;49904.18359375;-10570.594726563
620272;49924.18359375;-10570.594726563
620273;49944.18359375;-10570.594726563
620574;49864.18359375;-10590.594726563
620575;49884.18359375;-10590.594726563
620576;49904.18359375;-10590.594726563
620577;49924.18359375;-10590.594726563
620578;49944.18359375;-10590.594726563
620579;49964.18359375;-10590.594726563
620878;49864.18359375;-10610.594726563
620879;49884.18359375;-10610.594726563
620880;49904.18359375;-10610.594726563
620881;49924.18359375;-10610.594726563
620882;49944.18359375;-10610.594726563
620883;49964.18359375;-10610.594726563
621182;49884.18359375;-10630.594726563
621183;49904.18359375;-10630.594726563
621184;49924.18359375;-10630.594726563
621185;49944.18359375;-10630.594726563
