# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-20 15:53:40
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222.slx
# Object Full Name: Regions/new AD1/AD region/q
# Object ID: 8db2501c-bd64-40e7-a66a-9b722f47b9bd
# Object type: Region
# Object creation time: 2023-06-20 09:22:01
#
Spot index;x;y
530177;50504.18359375;-4990.5952148438
530178;50524.18359375;-4990.5952148438
530179;50544.18359375;-4990.5952148438
530489;50504.18359375;-5010.5952148438
530490;50524.18359375;-5010.5952148438
530491;50544.18359375;-5010.5952148438
530492;50564.18359375;-5010.5952148438
530800;50484.18359375;-5030.5952148438
530801;50504.18359375;-5030.5952148438
530802;50524.18359375;-5030.5952148438
530803;50544.18359375;-5030.5952148438
530804;50564.18359375;-5030.5952148438
531113;50484.18359375;-5050.5952148438
531114;50504.18359375;-5050.5952148438
531115;50524.18359375;-5050.5952148438
531116;50544.18359375;-5050.5952148438
531117;50564.18359375;-5050.5952148438
531426;50484.18359375;-5070.5952148438
531427;50504.18359375;-5070.5952148438
531428;50524.18359375;-5070.5952148438
531429;50544.18359375;-5070.5952148438
531430;50564.18359375;-5070.5952148438
531741;50504.18359375;-5090.5952148438
531742;50524.18359375;-5090.5952148438
531743;50544.18359375;-5090.5952148438
531744;50564.18359375;-5090.5952148438
532055;50504.18359375;-5110.5952148438
532056;50524.18359375;-5110.5952148438
532057;50544.18359375;-5110.5952148438
