# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-20 15:54:24
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222.slx
# Object Full Name: Regions/new AD1/AD region/q
# Object ID: a80c29ed-b33b-40de-ba98-7af038b5e705
# Object type: Region
# Object creation time: 2023-06-20 09:22:47
#
Spot index;x;y
557095;49904.18359375;-6670.5952148438
557096;49924.18359375;-6670.5952148438
557097;49944.18359375;-6670.5952148438
557098;49964.18359375;-6670.5952148438
557099;49984.18359375;-6670.5952148438
557100;50004.18359375;-6670.5952148438
557438;49884.18359375;-6690.5952148438
557439;49904.18359375;-6690.5952148438
557440;49924.18359375;-6690.5952148438
557441;49944.18359375;-6690.5952148438
557442;49964.18359375;-6690.5952148438
557443;49984.18359375;-6690.5952148438
557444;50004.18359375;-6690.5952148438
557782;49904.18359375;-6710.5952148438
557783;49924.18359375;-6710.5952148438
557784;49944.18359375;-6710.5952148438
557785;49964.18359375;-6710.5952148438
557786;49984.18359375;-6710.5952148438
557787;50004.18359375;-6710.5952148438
558126;49924.18359375;-6730.5952148438
558127;49944.18359375;-6730.5952148438
558128;49964.18359375;-6730.5952148438
