# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-20 15:55:01
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222.slx
# Object Full Name: Regions/new AD1/AD region/qq
# Object ID: 37e66353-7f3a-4902-a41b-8bc511cf6f82
# Object type: Region
# Object creation time: 2023-06-20 09:22:00
#
Spot index;x;y
516012;49604.18359375;-4030.5952148438
516013;49624.18359375;-4030.5952148438
516014;49644.18359375;-4030.5952148438
516015;49664.18359375;-4030.5952148438
516272;49584.18359375;-4050.5952148438
516273;49604.18359375;-4050.5952148438
516274;49624.18359375;-4050.5952148438
516275;49644.18359375;-4050.5952148438
516276;49664.18359375;-4050.5952148438
516277;49684.18359375;-4050.5952148438
516537;49604.18359375;-4070.5952148438
516538;49624.18359375;-4070.5952148438
516539;49644.18359375;-4070.5952148438
516540;49664.18359375;-4070.5952148438
