# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-20 15:57:07
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222.slx
# Object Full Name: Regions/new AD1/AD region/r
# Object ID: a09c4149-b8c9-4009-b835-2873ecddd571
# Object type: Region
# Object creation time: 2023-06-20 09:22:07
#
Spot index;x;y
606890;49104.18359375;-9730.5947265625
606891;49124.18359375;-9730.5947265625
607208;49084.18359375;-9750.5947265625
607209;49104.18359375;-9750.5947265625
607210;49124.18359375;-9750.5947265625
607211;49144.18359375;-9750.5947265625
607528;49084.18359375;-9770.5947265625
607529;49104.18359375;-9770.5947265625
607530;49124.18359375;-9770.5947265625
607531;49144.18359375;-9770.5947265625
607850;49104.18359375;-9790.5947265625
607851;49124.18359375;-9790.5947265625
