# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-20 16:02:50
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222.slx
# Object Full Name: Regions/new AD1/AD region/u
# Object ID: 8bceb664-27fd-4d30-acdb-ba77f792d06c
# Object type: Region
# Object creation time: 2023-06-20 09:21:57
#
Spot index;x;y
625820;49324.18359375;-10950.594726563
625821;49344.18359375;-10950.594726563
626097;49304.18359375;-10970.594726563
626098;49324.18359375;-10970.594726563
626099;49344.18359375;-10970.594726563
626100;49364.18359375;-10970.594726563
626373;49304.18359375;-10990.594726563
626374;49324.18359375;-10990.594726563
626375;49344.18359375;-10990.594726563
626376;49364.18359375;-10990.594726563
626649;49324.18359375;-11010.594726563
626650;49344.18359375;-11010.594726563
