# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-20 16:23:23
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222.slx
# Object Full Name: Regions/new AD1/AD region/u
# Object ID: da2a7e33-a608-44bc-9723-bb7b326b2e68
# Object type: Region
# Object creation time: 2023-06-20 09:22:51
#
Spot index;x;y
595963;49304.18359375;-9030.5947265625
595964;49324.18359375;-9030.5947265625
595965;49344.18359375;-9030.5947265625
595966;49364.18359375;-9030.5947265625
596267;49284.18359375;-9050.5947265625
596268;49304.18359375;-9050.5947265625
596269;49324.18359375;-9050.5947265625
596270;49344.18359375;-9050.5947265625
596271;49364.18359375;-9050.5947265625
596272;49384.18359375;-9050.5947265625
596572;49284.18359375;-9070.5947265625
596573;49304.18359375;-9070.5947265625
596574;49324.18359375;-9070.5947265625
596575;49344.18359375;-9070.5947265625
596576;49364.18359375;-9070.5947265625
596577;49384.18359375;-9070.5947265625
596879;49304.18359375;-9090.5947265625
596880;49324.18359375;-9090.5947265625
596881;49344.18359375;-9090.5947265625
596882;49364.18359375;-9090.5947265625
