# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-20 16:23:53
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222.slx
# Object Full Name: Regions/new AD1/AD region/v
# Object ID: ec08e3fc-e530-4d3b-bbe2-3354e82aefb2
# Object type: Region
# Object creation time: 2023-06-20 09:22:04
#
Spot index;x;y
565897;51284.18359375;-7170.5952148438
565898;51304.18359375;-7170.5952148438
565899;51324.18359375;-7170.5952148438
565900;51344.18359375;-7170.5952148438
566252;51284.18359375;-7190.5952148438
566253;51304.18359375;-7190.5952148438
566254;51324.18359375;-7190.5952148438
566255;51344.18359375;-7190.5952148438
566608;51304.18359375;-7210.5952148438
566609;51324.18359375;-7210.5952148438
