# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-20 16:25:55
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222.slx
# Object Full Name: Regions/new AD1/AD region/x
# Object ID: 5602fcf1-d231-400b-9cc3-8ba75518e1af
# Object type: Region
# Object creation time: 2023-06-20 09:22:53
#
Spot index;x;y
514172;48024.18359375;-3890.5952148438
514173;48044.18359375;-3890.5952148438
514174;48064.18359375;-3890.5952148438
514415;48024.18359375;-3910.5952148438
514416;48044.18359375;-3910.5952148438
514417;48064.18359375;-3910.5952148438
514418;48084.18359375;-3910.5952148438
514661;48024.18359375;-3930.5952148438
514662;48044.18359375;-3930.5952148438
514663;48064.18359375;-3930.5952148438
514664;48084.18359375;-3930.5952148438
514911;48024.18359375;-3950.5952148438
514912;48044.18359375;-3950.5952148438
514913;48064.18359375;-3950.5952148438
