# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-20 16:26:25
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222.slx
# Object Full Name: Regions/new AD1/AD region/y
# Object ID: 5a2312da-5f7c-4dfd-b71d-4ff8acc1cc08
# Object type: Region
# Object creation time: 2023-06-20 09:21:55
#
Spot index;x;y
620195;48384.18359375;-10570.594726563
620196;48404.18359375;-10570.594726563
620197;48424.18359375;-10570.594726563
620198;48444.18359375;-10570.594726563
620199;48464.18359375;-10570.594726563
620200;48484.18359375;-10570.594726563
620500;48384.18359375;-10590.594726563
620501;48404.18359375;-10590.594726563
620502;48424.18359375;-10590.594726563
620503;48444.18359375;-10590.594726563
620504;48464.18359375;-10590.594726563
