# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 13:46:21
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-2.slx
# Object Full Name: Regions/Slide 41230/AD3/AD3 region/1
# Object ID: df02452f-9878-443d-b5ca-45431e3146d7
# Object type: Region
# Object creation time: 2023-06-21 11:46:06
#
Spot index;x;y
474112;11708.764648438;16748.251953125
474113;11728.764648438;16748.251953125
474114;11748.764648438;16748.251953125
474435;11688.764648438;16728.251953125
474436;11708.764648438;16728.251953125
474437;11728.764648438;16728.251953125
474438;11748.764648438;16728.251953125
474439;11768.764648438;16728.251953125
474759;11708.764648438;16708.251953125
474760;11728.764648438;16708.251953125
474761;11748.764648438;16708.251953125
