# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 13:46:57
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-2.slx
# Object Full Name: Regions/Slide 41230/AD3/AD3 region/2
# Object ID: 3839e585-6f02-4013-a7d6-7a4562cf5b1b
# Object type: Region
# Object creation time: 2023-06-21 11:46:16
#
Spot index;x;y
500024;8408.7646484375;15008.250976563
500025;8428.7646484375;15008.250976563
500026;8448.7646484375;15008.250976563
500027;8468.7646484375;15008.250976563
500028;8488.7646484375;15008.250976563
500029;8508.7646484375;15008.250976563
500257;8388.7646484375;14988.250976563
500258;8408.7646484375;14988.250976563
500259;8428.7646484375;14988.250976563
500260;8448.7646484375;14988.250976563
500261;8468.7646484375;14988.250976563
500262;8488.7646484375;14988.250976563
500263;8508.7646484375;14988.250976563
500490;8408.7646484375;14968.250976563
500491;8428.7646484375;14968.250976563
500492;8448.7646484375;14968.250976563
500493;8468.7646484375;14968.250976563
500494;8488.7646484375;14968.250976563
500495;8508.7646484375;14968.250976563
500722;8448.7646484375;14948.250976563
500723;8468.7646484375;14948.250976563
