# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 13:47:46
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-2.slx
# Object Full Name: Regions/Slide 41230/AD3/AD3 region/2
# Object ID: 574588f0-e738-4b6e-9f30-98d18387338f
# Object type: Region
# Object creation time: 2023-06-21 11:46:06
#
Spot index;x;y
471533;11748.764648438;16908.251953125
471853;11728.764648438;16888.251953125
471854;11748.764648438;16888.251953125
471855;11768.764648438;16888.251953125
472174;11708.764648438;16868.251953125
472175;11728.764648438;16868.251953125
472176;11748.764648438;16868.251953125
472177;11768.764648438;16868.251953125
472178;11788.764648438;16868.251953125
472499;11708.764648438;16848.251953125
472500;11728.764648438;16848.251953125
472501;11748.764648438;16848.251953125
472502;11768.764648438;16848.251953125
472503;11788.764648438;16848.251953125
472824;11728.764648438;16828.251953125
472825;11748.764648438;16828.251953125
472826;11768.764648438;16828.251953125
