# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 13:49:07
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-2.slx
# Object Full Name: Regions/Slide 41230/AD3/AD3 region/3
# Object ID: 5b97df01-057d-4e31-a4ae-10b6d97cba4c
# Object type: Region
# Object creation time: 2023-06-21 11:47:11
#
Spot index;x;y
392214;9148.7646484375;21968.251953125
392215;9168.7646484375;21968.251953125
392460;9148.7646484375;21948.251953125
392461;9168.7646484375;21948.251953125
392462;9188.7646484375;21948.251953125
392710;9148.7646484375;21928.251953125
392711;9168.7646484375;21928.251953125
392712;9188.7646484375;21928.251953125
392962;9148.7646484375;21908.251953125
392963;9168.7646484375;21908.251953125
392964;9188.7646484375;21908.251953125
