# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 13:48:28
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-2.slx
# Object Full Name: Regions/Slide 41230/AD3/AD3 region/3
# Object ID: 2ca0690f-42bc-48ef-bf89-a389534d6d30
# Object type: Region
# Object creation time: 2023-06-21 11:46:07
#
Spot index;x;y
466122;11628.764648438;17248.251953125
466430;11608.764648438;17228.251953125
466431;11628.764648438;17228.251953125
466432;11648.764648438;17228.251953125
466741;11608.764648438;17208.251953125
466742;11628.764648438;17208.251953125
466743;11648.764648438;17208.251953125
467053;11608.764648438;17188.251953125
467054;11628.764648438;17188.251953125
467055;11648.764648438;17188.251953125
