# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 13:50:19
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-2.slx
# Object Full Name: Regions/Slide 41230/AD3/AD3 region/4
# Object ID: 1b3f6be6-842a-42a6-9996-6eff22f8b8b5
# Object type: Region
# Object creation time: 2023-06-21 11:46:16
#
Spot index;x;y
506714;11168.764648438;14328.250976563
506715;11188.764648438;14328.250976563
506860;11168.764648438;14308.250976563
506861;11188.764648438;14308.250976563
506862;11208.764648438;14308.250976563
507004;11168.764648438;14288.250976563
507005;11188.764648438;14288.250976563
507006;11208.764648438;14288.250976563
507141;11168.764648438;14268.250976563
507142;11188.764648438;14268.250976563
