# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 13:51:48
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-2.slx
# Object Full Name: Regions/Slide 41230/AD3/AD3 region/5
# Object ID: 07df12f6-922b-43a4-ae51-16a68e09b11d
# Object type: Region
# Object creation time: 2023-06-21 11:46:08
#
Spot index;x;y
438694;11928.764648438;18928.251953125
438695;11948.764648438;18928.251953125
438696;11968.764648438;18928.251953125
438697;11988.764648438;18928.251953125
438698;12008.764648438;18928.251953125
439039;11928.764648438;18908.251953125
439040;11948.764648438;18908.251953125
439041;11968.764648438;18908.251953125
439042;11988.764648438;18908.251953125
439043;12008.764648438;18908.251953125
