# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 13:53:31
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-2.slx
# Object Full Name: Regions/Slide 41230/AD3/AD3 region/6
# Object ID: 297d8c96-0693-4ae6-b393-300d83439133
# Object type: Region
# Object creation time: 2023-06-21 11:46:15
#
Spot index;x;y
501544;11408.764648438;14888.250976563
501545;11428.764648438;14888.250976563
501546;11448.764648438;14888.250976563
501763;11388.764648438;14868.250976563
501764;11408.764648438;14868.250976563
501765;11428.764648438;14868.250976563
501766;11448.764648438;14868.250976563
501767;11468.764648438;14868.250976563
501981;11408.764648438;14848.250976563
501982;11428.764648438;14848.250976563
501983;11448.764648438;14848.250976563
501984;11468.764648438;14848.250976563
502197;11408.764648438;14828.250976563
502198;11428.764648438;14828.250976563
502199;11448.764648438;14828.250976563
