# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 13:54:00
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-2.slx
# Object Full Name: Regions/Slide 41230/AD3/AD3 region/6
# Object ID: 2fd21321-d438-4494-89b9-37b75741900b
# Object type: Region
# Object creation time: 2023-06-21 11:46:09
#
Spot index;x;y
428141;12188.764648438;19548.251953125
428142;12208.764648438;19548.251953125
428143;12228.764648438;19548.251953125
428144;12248.764648438;19548.251953125
428470;12188.764648438;19528.251953125
428471;12208.764648438;19528.251953125
428472;12228.764648438;19528.251953125
428473;12248.764648438;19528.251953125
428807;12208.764648438;19508.251953125
428808;12228.764648438;19508.251953125
