# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 13:54:55
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-2.slx
# Object Full Name: Regions/Slide 41230/AD3/AD3 region/7
# Object ID: a2d75cae-6084-4773-a072-b8c1921733d7
# Object type: Region
# Object creation time: 2023-06-21 11:47:11
#
Spot index;x;y
497516;12248.764648438;15228.250976563
497517;12268.764648438;15228.250976563
497518;12288.764648438;15228.250976563
497771;12248.764648438;15208.250976563
497772;12268.764648438;15208.250976563
497773;12288.764648438;15208.250976563
497774;12308.764648438;15208.250976563
498025;12248.764648438;15188.250976563
498026;12268.764648438;15188.250976563
498027;12288.764648438;15188.250976563
498028;12308.764648438;15188.250976563
498279;12268.764648438;15168.250976563
498280;12288.764648438;15168.250976563
