# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 14:02:44
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-2.slx
# Object Full Name: Regions/Slide 41230/AD3/AD3 region/7
# Object ID: bc985b20-ac01-4877-9441-be3c4d27e5c7
# Object type: Region
# Object creation time: 2023-06-21 11:46:16
#
Spot index;x;y
433886;11588.764648438;19208.251953125
434226;11568.764648438;19188.251953125
434227;11588.764648438;19188.251953125
434228;11608.764648438;19188.251953125
434567;11568.764648438;19168.251953125
434568;11588.764648438;19168.251953125
434569;11608.764648438;19168.251953125
434908;11568.764648438;19148.251953125
434909;11588.764648438;19148.251953125
434910;11608.764648438;19148.251953125
