# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 14:03:12
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-2.slx
# Object Full Name: Regions/Slide 41230/AD3/AD3 region/8
# Object ID: 4f1abfb9-86b5-4b06-8432-05ad716c158d
# Object type: Region
# Object creation time: 2023-06-21 11:46:17
#
Spot index;x;y
476678;11428.764648438;16588.251953125
476679;11448.764648438;16588.251953125
476998;11388.764648438;16568.251953125
476999;11408.764648438;16568.251953125
477000;11428.764648438;16568.251953125
477001;11448.764648438;16568.251953125
477002;11468.764648438;16568.251953125
477319;11388.764648438;16548.251953125
477320;11408.764648438;16548.251953125
477321;11428.764648438;16548.251953125
477322;11448.764648438;16548.251953125
477323;11468.764648438;16548.251953125
477641;11408.764648438;16528.251953125
477642;11428.764648438;16528.251953125
477643;11448.764648438;16528.251953125
477644;11468.764648438;16528.251953125
