# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 14:05:10
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-2.slx
# Object Full Name: Regions/Slide 41230/AD3/AD3 region/b
# Object ID: 46c9139b-e0bb-470c-8afe-989ecbbcb343
# Object type: Region
# Object creation time: 2023-06-21 11:46:18
#
Spot index;x;y
391651;12228.764648438;22028.251953125
391887;12208.764648438;22008.251953125
391888;12228.764648438;22008.251953125
391889;12248.764648438;22008.251953125
392126;12208.764648438;21988.251953125
392127;12228.764648438;21988.251953125
392128;12248.764648438;21988.251953125
392367;12208.764648438;21968.251953125
392368;12228.764648438;21968.251953125
392369;12248.764648438;21968.251953125
