# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 14:06:36
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-2.slx
# Object Full Name: Regions/Slide 41230/AD3/AD3 region/e
# Object ID: 5ad0fbeb-e056-4c29-8c5b-b0c2310dc66d
# Object type: Region
# Object creation time: 2023-06-21 11:46:11
#
Spot index;x;y
502049;8448.7646484375;14828.250976563
502050;8468.7646484375;14828.250976563
502051;8488.7646484375;14828.250976563
502052;8508.7646484375;14828.250976563
502053;8528.7646484375;14828.250976563
502054;8548.7646484375;14828.250976563
502263;8448.7646484375;14808.250976563
502264;8468.7646484375;14808.250976563
502265;8488.7646484375;14808.250976563
502266;8508.7646484375;14808.250976563
502267;8528.7646484375;14808.250976563
502268;8548.7646484375;14808.250976563
502269;8568.7646484375;14808.250976563
502475;8448.7646484375;14788.250976563
502476;8468.7646484375;14788.250976563
502477;8488.7646484375;14788.250976563
502478;8508.7646484375;14788.250976563
502479;8528.7646484375;14788.250976563
502480;8548.7646484375;14788.250976563
502686;8488.7646484375;14768.250976563
502687;8508.7646484375;14768.250976563
