# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 14:07:09
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-2.slx
# Object Full Name: Regions/Slide 41230/AD3/AD3 region/f
# Object ID: 8539a024-5ddb-480f-8e09-51f10ad5d7ca
# Object type: Region
# Object creation time: 2023-06-21 11:46:12
#
Spot index;x;y
396247;12248.764648438;21668.251953125
396248;12268.764648438;21668.251953125
396517;12228.764648438;21648.251953125
396518;12248.764648438;21648.251953125
396519;12268.764648438;21648.251953125
396520;12288.764648438;21648.251953125
396789;12228.764648438;21628.251953125
396790;12248.764648438;21628.251953125
396791;12268.764648438;21628.251953125
396792;12288.764648438;21628.251953125
397063;12268.764648438;21608.251953125
