# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 14:08:27
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-2.slx
# Object Full Name: Regions/Slide 41230/AD3/AD3 region/h
# Object ID: c916b813-7a39-4189-88c9-cd2e106e77a2
# Object type: Region
# Object creation time: 2023-06-21 11:47:09
#
Spot index;x;y
389836;11208.764648438;22188.251953125
389837;11228.764648438;22188.251953125
389838;11248.764648438;22188.251953125
390047;11188.764648438;22168.251953125
390048;11208.764648438;22168.251953125
390049;11228.764648438;22168.251953125
390050;11248.764648438;22168.251953125
390051;11268.764648438;22168.251953125
390052;11288.764648438;22168.251953125
390258;11168.764648438;22148.251953125
390259;11188.764648438;22148.251953125
390260;11208.764648438;22148.251953125
390261;11228.764648438;22148.251953125
390262;11248.764648438;22148.251953125
390263;11268.764648438;22148.251953125
390264;11288.764648438;22148.251953125
390474;11188.764648438;22128.251953125
390475;11208.764648438;22128.251953125
390476;11228.764648438;22128.251953125
390477;11248.764648438;22128.251953125
390478;11268.764648438;22128.251953125
