# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 14:09:03
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-2.slx
# Object Full Name: Regions/Slide 41230/AD3/AD3 region/i
# Object ID: 1ef36705-65aa-471e-9a71-c7373e8f7ac5
# Object type: Region
# Object creation time: 2023-06-21 11:47:09
#
Spot index;x;y
504216;11528.764648438;14628.250976563
504217;11548.764648438;14628.250976563
504218;11568.764648438;14628.250976563
504219;11588.764648438;14628.250976563
504401;11508.764648438;14608.250976563
504402;11528.764648438;14608.250976563
504403;11548.764648438;14608.250976563
504404;11568.764648438;14608.250976563
504405;11588.764648438;14608.250976563
504406;11608.764648438;14608.250976563
504585;11508.764648438;14588.250976563
504586;11528.764648438;14588.250976563
504587;11548.764648438;14588.250976563
504588;11568.764648438;14588.250976563
504589;11588.764648438;14588.250976563
504590;11608.764648438;14588.250976563
504591;11628.764648438;14588.250976563
504766;11508.764648438;14568.250976563
504767;11528.764648438;14568.250976563
504768;11548.764648438;14568.250976563
504769;11568.764648438;14568.250976563
504770;11588.764648438;14568.250976563
504771;11608.764648438;14568.250976563
504947;11528.764648438;14548.250976563
504948;11548.764648438;14548.250976563
504949;11568.764648438;14548.250976563
504950;11588.764648438;14548.250976563
504951;11608.764648438;14548.250976563
505125;11568.764648438;14528.250976563
