# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 14:09:43
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-2.slx
# Object Full Name: Regions/Slide 41230/AD3/AD3 region/j
# Object ID: 0fae35dd-e4b2-4589-836e-fefd5fe05d12
# Object type: Region
# Object creation time: 2023-06-21 11:46:09
#
Spot index;x;y
506650;9888.7646484375;14328.250976563
506651;9908.7646484375;14328.250976563
506652;9928.7646484375;14328.250976563
506653;9948.7646484375;14328.250976563
506654;9968.7646484375;14328.250976563
506655;9988.7646484375;14328.250976563
506795;9868.7646484375;14308.250976563
506796;9888.7646484375;14308.250976563
506797;9908.7646484375;14308.250976563
506798;9928.7646484375;14308.250976563
506799;9948.7646484375;14308.250976563
506800;9968.7646484375;14308.250976563
506801;9988.7646484375;14308.250976563
506939;9868.7646484375;14288.250976563
506940;9888.7646484375;14288.250976563
506941;9908.7646484375;14288.250976563
506942;9928.7646484375;14288.250976563
506943;9948.7646484375;14288.250976563
506944;9968.7646484375;14288.250976563
506945;9988.7646484375;14288.250976563
507078;9908.7646484375;14268.250976563
507079;9928.7646484375;14268.250976563
507080;9948.7646484375;14268.250976563
507081;9968.7646484375;14268.250976563
