# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 14:10:17
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-2.slx
# Object Full Name: Regions/Slide 41230/AD3/AD3 region/k
# Object ID: a3adfa55-e478-4216-ac1d-cd91cf097297
# Object type: Region
# Object creation time: 2023-06-21 11:47:10
#
Spot index;x;y
499969;12008.764648438;15028.250976563
499970;12028.764648438;15028.250976563
499971;12048.764648438;15028.250976563
500203;11988.764648438;15008.250976563
500204;12008.764648438;15008.250976563
500205;12028.764648438;15008.250976563
500206;12048.764648438;15008.250976563
500207;12068.764648438;15008.250976563
500437;11988.764648438;14988.250976563
500438;12008.764648438;14988.250976563
500439;12028.764648438;14988.250976563
500440;12048.764648438;14988.250976563
500441;12068.764648438;14988.250976563
500669;11988.764648438;14968.250976563
500670;12008.764648438;14968.250976563
500671;12028.764648438;14968.250976563
500672;12048.764648438;14968.250976563
500673;12068.764648438;14968.250976563
