# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 14:36:04
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-2.slx
# Object Full Name: Regions/Slide 41230/AD3/AD3 region/m
# Object ID: 3c59d462-bfe4-4117-89c0-f90f63f700ba
# Object type: Region
# Object creation time: 2023-06-21 11:46:01
#
Spot index;x;y
495952;7528.7641601563;15328.250976563
495953;7548.7641601563;15328.250976563
495954;7568.7641601563;15328.250976563
495955;7588.7641601563;15328.250976563
496225;7528.7641601563;15308.250976563
496226;7548.7641601563;15308.250976563
496227;7568.7641601563;15308.250976563
496228;7588.7641601563;15308.250976563
496229;7608.7641601563;15308.250976563
496497;7548.7641601563;15288.250976563
496498;7568.7641601563;15288.250976563
496499;7588.7641601563;15288.250976563
