# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 14:36:48
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-2.slx
# Object Full Name: Regions/Slide 41230/AD3/AD3 region/n
# Object ID: c1148c54-13dd-43d0-bb5d-66028ce98859
# Object type: Region
# Object creation time: 2023-06-21 11:46:18
#
Spot index;x;y
458791;12688.764648438;17728.251953125
458792;12708.764648438;17728.251953125
458793;12728.764648438;17728.251953125
459102;12688.764648438;17708.251953125
459103;12708.764648438;17708.251953125
459104;12728.764648438;17708.251953125
459412;12688.764648438;17688.251953125
459413;12708.764648438;17688.251953125
459414;12728.764648438;17688.251953125
459721;12688.764648438;17668.251953125
459722;12708.764648438;17668.251953125
459723;12728.764648438;17668.251953125
