# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 14:37:17
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-2.slx
# Object Full Name: Regions/Slide 41230/AD3/AD3 region/o
# Object ID: e19e4306-a49b-4d85-959f-f5724134da5e
# Object type: Region
# Object creation time: 2023-06-21 11:46:11
#
Spot index;x;y
484775;7148.7641601563;16068.250976563
484776;7168.7641601563;16068.250976563
485091;7128.7641601563;16048.250976563
485092;7148.7641601563;16048.250976563
485093;7168.7641601563;16048.250976563
485094;7188.7641601563;16048.250976563
485408;7128.7641601563;16028.250976563
485409;7148.7641601563;16028.250976563
485410;7168.7641601563;16028.250976563
485411;7188.7641601563;16028.250976563
485724;7128.7641601563;16008.250976563
485725;7148.7641601563;16008.250976563
485726;7168.7641601563;16008.250976563
485727;7188.7641601563;16008.250976563
