# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 14:37:58
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-2.slx
# Object Full Name: Regions/Slide 41230/AD3/AD3 region/p
# Object ID: 0862996e-a13f-4350-ab08-f04e7fa334ac
# Object type: Region
# Object creation time: 2023-06-21 11:46:13
#
Spot index;x;y
425593;13328.764648438;19708.251953125
425594;13348.764648438;19708.251953125
425914;13288.764648438;19688.251953125
425915;13308.764648438;19688.251953125
425916;13328.764648438;19688.251953125
425917;13348.764648438;19688.251953125
425918;13368.764648438;19688.251953125
425919;13388.764648438;19688.251953125
426237;13288.764648438;19668.251953125
426238;13308.764648438;19668.251953125
426239;13328.764648438;19668.251953125
426240;13348.764648438;19668.251953125
426241;13368.764648438;19668.251953125
426242;13388.764648438;19668.251953125
426562;13308.764648438;19648.251953125
426563;13328.764648438;19648.251953125
426564;13348.764648438;19648.251953125
426565;13368.764648438;19648.251953125
