# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 14:42:26
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-2.slx
# Object Full Name: Regions/Slide 41230/AD3/AD3 region/s
# Object ID: 86ac3e33-35d8-4113-863d-0db73384255e
# Object type: Region
# Object creation time: 2023-06-21 11:46:14
#
Spot index;x;y
507590;10548.764648438;14188.250976563
507591;10568.764648438;14188.250976563
507592;10588.764648438;14188.250976563
507593;10608.764648438;14188.250976563
507594;10628.764648438;14188.250976563
507696;10528.764648438;14168.250976563
507697;10548.764648438;14168.250976563
507698;10568.764648438;14168.250976563
507699;10588.764648438;14168.250976563
507700;10608.764648438;14168.250976563
507701;10628.764648438;14168.250976563
507702;10648.764648438;14168.250976563
507792;10548.764648438;14148.250976563
507793;10568.764648438;14148.250976563
507794;10588.764648438;14148.250976563
507795;10608.764648438;14148.250976563
507796;10628.764648438;14148.250976563
