# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 14:48:25
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-2.slx
# Object Full Name: Regions/Slide 41230/AD3/AD3 region/t
# Object ID: 160cbf36-4a50-4d86-8ca9-d676587bf731
# Object type: Region
# Object creation time: 2023-06-21 11:46:19
#
Spot index;x;y
507121;10768.764648438;14268.250976563
507122;10788.764648438;14268.250976563
507250;10748.764648438;14248.250976563
507251;10768.764648438;14248.250976563
507252;10788.764648438;14248.250976563
507253;10808.764648438;14248.250976563
507370;10748.764648438;14228.250976563
507371;10768.764648438;14228.250976563
507372;10788.764648438;14228.250976563
507373;10808.764648438;14228.250976563
