# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 14:49:29
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-2.slx
# Object Full Name: Regions/Slide 41230/AD3/AD3 region/v
# Object ID: e7cda71c-f099-4c7f-a17d-9ad93cd9c409
# Object type: Region
# Object creation time: 2023-06-21 11:46:10
#
Spot index;x;y
484414;12628.764648438;16108.250976563
484415;12648.764648438;16108.250976563
484416;12668.764648438;16108.250976563
484730;12608.764648438;16088.250976563
484731;12628.764648438;16088.250976563
484732;12648.764648438;16088.250976563
484733;12668.764648438;16088.250976563
485048;12608.764648438;16068.250976563
485049;12628.764648438;16068.250976563
485050;12648.764648438;16068.250976563
485051;12668.764648438;16068.250976563
485366;12628.764648438;16048.250976563
485367;12648.764648438;16048.250976563
