# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 14:49:59
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-2.slx
# Object Full Name: Regions/Slide 41230/AD3/AD3 region/w
# Object ID: 5bdb412a-4113-44ce-8593-22c4035993d2
# Object type: Region
# Object creation time: 2023-06-21 11:46:01
#
Spot index;x;y
398192;12928.764648438;21528.251953125
398193;12948.764648438;21528.251953125
398194;12968.764648438;21528.251953125
398469;12928.764648438;21508.251953125
398470;12948.764648438;21508.251953125
398471;12968.764648438;21508.251953125
398746;12928.764648438;21488.251953125
398747;12948.764648438;21488.251953125
398748;12968.764648438;21488.251953125
399025;12928.764648438;21468.251953125
399026;12948.764648438;21468.251953125
399027;12968.764648438;21468.251953125
399305;12948.764648438;21448.251953125
