# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 14:55:00
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-2.slx
# Object Full Name: Regions/Slide 41230/AD3/AD3 region/x
# Object ID: be0c25c8-4f27-451b-be45-533ebc24d8a8
# Object type: Region
# Object creation time: 2023-06-21 11:46:04
#
Spot index;x;y
502692;8608.7646484375;14768.250976563
502894;8568.7646484375;14748.250976563
502895;8588.7646484375;14748.250976563
502896;8608.7646484375;14748.250976563
502897;8628.7646484375;14748.250976563
502898;8648.7646484375;14748.250976563
503096;8568.7646484375;14728.250976563
503097;8588.7646484375;14728.250976563
503098;8608.7646484375;14728.250976563
503099;8628.7646484375;14728.250976563
503100;8648.7646484375;14728.250976563
