# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 13:38:29
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-1.slx
# Object Full Name: Regions/Slide 41222/WT2/WT2 region/3
# Object ID: 8ad46431-7b22-4d4b-bb7b-31e02ff46005
# Object type: Region
# Object creation time: 2023-06-21 11:44:11
#
Spot index;x;y
218945;29309.5625;30508.458984375
218946;29329.5625;30508.458984375
218947;29349.5625;30508.458984375
219292;29309.5625;30488.458984375
219293;29329.5625;30488.458984375
219294;29349.5625;30488.458984375
219295;29369.5625;30488.458984375
219639;29309.5625;30468.458984375
219640;29329.5625;30468.458984375
219641;29349.5625;30468.458984375
219642;29369.5625;30468.458984375
219987;29329.5625;30448.458984375
219988;29349.5625;30448.458984375
