# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 11:47:37
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-1.slx
# Object Full Name: Regions/Slide 41222/WT2/WT2 region/a
# Object ID: 33ae6f9f-c33f-4dc5-995b-29d03e571ae7
# Object type: Region
# Object creation time: 2023-06-21 11:42:35
#
Spot index;x;y
186017;29229.5625;32488.458984375
186018;29249.5625;32488.458984375
186019;29269.5625;32488.458984375
186326;29209.5625;32468.458984375
186327;29229.5625;32468.458984375
186328;29249.5625;32468.458984375
186329;29269.5625;32468.458984375
186330;29289.5625;32468.458984375
186634;29229.5625;32448.458984375
186635;29249.5625;32448.458984375
186636;29269.5625;32448.458984375
186637;29289.5625;32448.458984375
186638;29309.5625;32448.458984375
186939;29249.5625;32428.458984375
186940;29269.5625;32428.458984375
186941;29289.5625;32428.458984375
186942;29309.5625;32428.458984375
