# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 13:36:29
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-1.slx
# Object Full Name: Regions/Slide 41222/WT2/WT2 region/b
# Object ID: 91c60531-6748-459d-8b4b-5ade15ee3a39
# Object type: Region
# Object creation time: 2023-06-21 11:44:08
#
Spot index;x;y
136018;28429.5625;35948.4609375
136019;28449.5625;35948.4609375
136020;28469.5625;35948.4609375
136248;28429.5625;35928.4609375
136249;28449.5625;35928.4609375
136250;28469.5625;35928.4609375
136251;28489.5625;35928.4609375
136479;28429.5625;35908.4609375
136480;28449.5625;35908.4609375
136481;28469.5625;35908.4609375
136482;28489.5625;35908.4609375
136713;28449.5625;35888.4609375
136714;28469.5625;35888.4609375
