# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 13:35:00
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-1.slx
# Object Full Name: Regions/Slide 41222/WT2/WT2 region/c
# Object ID: f2f3adaa-ba44-4988-9c82-2c4144b3d799
# Object type: Region
# Object creation time: 2023-06-21 11:44:06
#
Spot index;x;y
141073;28609.5625;35528.4609375
141074;28629.5625;35528.4609375
141075;28649.5625;35528.4609375
141076;28669.5625;35528.4609375
141077;28689.5625;35528.4609375
141324;28609.5625;35508.4609375
141325;28629.5625;35508.4609375
141326;28649.5625;35508.4609375
141327;28669.5625;35508.4609375
141328;28689.5625;35508.4609375
141329;28709.5625;35508.4609375
141575;28589.5625;35488.4609375
141576;28609.5625;35488.4609375
141577;28629.5625;35488.4609375
141578;28649.5625;35488.4609375
141579;28669.5625;35488.4609375
141580;28689.5625;35488.4609375
141581;28709.5625;35488.4609375
141829;28609.5625;35468.4609375
141830;28629.5625;35468.4609375
141831;28649.5625;35468.4609375
141832;28669.5625;35468.4609375
141833;28689.5625;35468.4609375
141834;28709.5625;35468.4609375
142083;28609.5625;35448.4609375
142084;28629.5625;35448.4609375
142085;28649.5625;35448.4609375
142086;28669.5625;35448.4609375
142087;28689.5625;35448.4609375
142088;28709.5625;35448.4609375
142340;28629.5625;35428.4609375
142341;28649.5625;35428.4609375
142342;28669.5625;35428.4609375
142343;28689.5625;35428.4609375
