# Exported with SCiLS Lab Version 11.00.14179
# Export time: 2023-06-21 11:54:07
# Generated from file: F:\MALDIImageData\P20220804475\Slide 41222-1.slx
# Object Full Name: Regions/Slide 41222/WT2/WT2 region/d
# Object ID: 9b51c95f-8823-47da-9d52-51a3f449320b
# Object type: Region
# Object creation time: 2023-06-21 11:43:59
#
Spot index;x;y
134059;28249.5625;36128.4609375
134060;28269.5625;36128.4609375
134061;28289.5625;36128.4609375
134062;28309.5625;36128.4609375
134262;28229.5625;36108.4609375
134263;28249.5625;36108.4609375
134264;28269.5625;36108.4609375
134265;28289.5625;36108.4609375
134266;28309.5625;36108.4609375
134470;28229.5625;36088.4609375
134471;28249.5625;36088.4609375
134472;28269.5625;36088.4609375
134473;28289.5625;36088.4609375
134474;28309.5625;36088.4609375
134681;28229.5625;36068.4609375
134682;28249.5625;36068.4609375
134683;28269.5625;36068.4609375
134684;28289.5625;36068.4609375
134685;28309.5625;36068.4609375
134895;28229.5625;36048.4609375
134896;28249.5625;36048.4609375
134897;28269.5625;36048.4609375
134898;28289.5625;36048.4609375
134899;28309.5625;36048.4609375
135111;28229.5625;36028.4609375
135112;28249.5625;36028.4609375
135113;28269.5625;36028.4609375
135114;28289.5625;36028.4609375
